date;state;confirmed;tmax;tmin;prec
01/04/2020;Massachusetts;7738;7,1803922;-2,0711538;1,013761
02/04/2020;Massachusetts;8966;8,348077;1,252;21,93213
03/04/2020;Massachusetts;10402;8,318367;3,597959;162,27397
04/04/2020;Massachusetts;11736;8,842553;3,444681;134,15741
05/04/2020;Massachusetts;12500;11,55;3,0446809;1,255924
06/04/2020;Massachusetts;13837;13,9877551;2,310204082;0,09345794
07/04/2020;Massachusetts;15202;15,89791667;2,43333333;0,1674641
08/04/2020;Massachusetts;16790;14,320408;3,208163;13,74429
09/04/2020;Massachusetts;18941;11,002;1,988;21,33645
10/04/2020;Massachusetts;20974;8,492;2,17;136,1045
11/04/2020;Massachusetts;22860;9,1612245;0,8816327;9,285714
12/04/2020;Massachusetts;25475;12,2787234;-2,189361702;0,02926829
13/04/2020;Massachusetts;26867;15,312245;3,9875;56,87963
14/04/2020;Massachusetts;28164;14,489796;5,385714;210,69545
15/04/2020;Massachusetts;29918;12,128261;2,117391;16,26852
16/04/2020;Massachusetts;32181;9,6085106;-1,2617021;6,843602
17/04/2020;Massachusetts;34402;8,4130435;-0,9173913;1,42654
18/04/2020;Massachusetts;36372;7,6173913;-0,1826087;136,039409
19/04/2020;Massachusetts;38077;9,285106;-1,26383;25,9378
20/04/2020;Massachusetts;38077;13,80816327;0,25714286;0,9389671
21/04/2020;Massachusetts;41199;11,3307692;-1,9423077;9,018519
22/04/2020;Massachusetts;42944;8,964;-0,564;76,8287
23/04/2020;Massachusetts;46023;8,95490196;-1,66862745;0,1643192
24/04/2020;Massachusetts;50969;10,366;1,526;51,40092
25/04/2020;Massachusetts;53348;11,8470588;0,7901961;45,84466
26/04/2020;Massachusetts;54938;14,616327;3,404167;11,34
27/04/2020;Massachusetts;56462;8,873469;3,136735;161,09767
22/01/2020;New Jersey;0;2,141176;-9,070588;0
23/01/2020;New Jersey;0;5,193939;-7,830303;0
24/01/2020;New Jersey;0;8,494118;-5,202941;1,28125
25/01/2020;New Jersey;0;10,9441176;-0,7264706;37
26/01/2020;New Jersey;0;9,09705882;-0,02941176;274,04329
27/01/2020;New Jersey;0;7,66470588;0,21176471;0,0875576
28/01/2020;New Jersey;0;6,37941176;1,26;0,1551724
29/01/2020;New Jersey;0;5,479411765;-0,991176471;0,02183406
30/01/2020;New Jersey;0;4,335294;-6,064706;0
31/01/2020;New Jersey;0;4,67352941;-4,80588235;0,6036036
01/02/2020;New Jersey;0;6,2294118;-0,65;9,442982
02/02/2020;New Jersey;0;6,11875;0,371875;16,58559
03/02/2020;New Jersey;0;9,98181818;-0,01818182;24,3165138
04/02/2020;New Jersey;0;15,1676471;2,3264706;3,442982
05/02/2020;New Jersey;0;13,505882;3,232353;11,88333
06/02/2020;New Jersey;0;6,208824;1,852941;93,44715
07/02/2020;New Jersey;0;9,558824;1,955882;106,45749
08/02/2020;New Jersey;0;9,666667;-2,581818;32,48636
09/02/2020;New Jersey;0;5,90882353;-3,67058824;0,5821596
10/02/2020;New Jersey;0;7,8606061;-0,1787879;13,764444
11/02/2020;New Jersey;0;8,882353;5,094286;129,79668
12/02/2020;New Jersey;0;8,621212;1,554545;36,95175
13/02/2020;New Jersey;0;8,357576;1,830303;82,22511
14/02/2020;New Jersey;0;5,8125;-4,11875;38,34361
15/02/2020;New Jersey;0;0,539393939;-11,8030303;0,05116279
16/02/2020;New Jersey;0;3,415152;-7,684848;0
17/02/2020;New Jersey;0;8,978788;-2,175758;0
18/02/2020;New Jersey;0;11,44848485;-0,1;0,1101322
19/02/2020;New Jersey;0;10,7382353;0,8205882;3,128755
